Date,Meal Type,Menu Items,Main Menu,StationID,StationName,AveTemp,Precipitation,Rain
2025-06-16,건강한끼(11:30~13:30),"육개장 (우:호주산), 명란떡갈비 (돈:국산), 허니버터감자구이, 백미밥, 부추적채겉절이, 깍두기",육개장,119.0,수원,22.8,11.9,1.0
2025-06-17,건강한끼(11:30~13:30),"제육볶음 (돈:국산), 들기름막국수, 황태해장국, 서리태콩밥, 아삭이고추무침, 포기김치",제육볶음,,,,,
2025-06-18,건강한끼(11:30~13:30),"부대찌개 (돈:국산), 오코노미야끼 (오징어:중국산), 김자반, 백미밥, 시금치나물, 깍두기",부대찌개,,,,,
2025-06-19,건강한끼(11:30~13:30),"불낙볶음 (돈:국산, 낙지:베트남산), 미역국, 고기왕만두찜 (돈:국산), 백미밥, 콩나물, 포기김치",불낙볶음,,,,,
2025-06-20,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,등록된,,,,,
2025-06-09,건강한끼(11:30~13:30),"짬뽕국 (오징어:국산), 언양식불고기 (돈:국산), 옹심이만두 (돈:국산), 백미밥, 오이탕탕이, 깍두기",짬뽕국,119.0,수원,23.0,0.0,0.0
2025-06-10,건강한끼(11:30~13:30),"김치사태찜 (돈:국산), 연두부*양념장, 바지락수제비, 백미밥, 얼갈이된장무침, 깍두기",김치사태찜,119.0,수원,19.9,0.0,0.0
2025-06-11,건강한끼(11:30~13:30),"순두부찌개, 떡갈비 (돈:국산), 멸치마늘쫑볶음, 백미밥, 콩나물무침, 포기김치","순두부찌개,",119.0,수원,20.9,0.0,0.0
2025-06-12,건강한끼(11:30~13:30),"돼지김치짜글이 (돈:국산), 계란후라이*햄구이(돈:국산), 시금치나물, 백미밥, 도시락김, 깍두기",돼지김치짜글이,119.0,수원,23.4,0.0,0.0
2025-06-13,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,등록된,119.0,수원,22.0,4.5,1.0
2025-06-02,건강한끼(11:30~13:30),"육개장 (우:호주산), 치킨까스 (계:국산), 백미밥, 꽈리메알장조림, 그래놀라샐러드, 포기김치",육개장,119.0,수원,19.4,0.0,0.0
2025-06-03,건강한끼(11:30~13:30),미운영,미운영,119.0,수원,19.3,0.0,0.0
2025-06-04,건강한끼(11:30~13:30),"묵은지찜닭 (계:국산), 콩나물국, 백미밥, 어묵볶음, 열무된장나물, 깍두기",묵은지찜닭,119.0,수원,18.8,0.0,0.0
2025-06-05,건강한끼(11:30~13:30),"뼈없는감자탕 (돈:국산), 녹두전, 백미밥, 호박새우살볶음, 양파장아찌, 깍두기",뼈없는감자탕,119.0,수원,20.3,0.0,0.0
2025-06-06,건강한끼(11:30~13:30),미운영,미운영,119.0,수원,23.0,0.0,0.0
2025-05-26,건강한끼(11:30~13:30),"배추된장국, 닭볶음탕 (계:국산), 고추장멸치볶음, 동부묵무침, 백미밥, 깍두기","배추된장국,",119.0,수원,18.0,0.0,0.0
2025-05-27,건강한끼(11:30~13:30),"미역국, 간장돈사태찜 (돈:국산), 온두부찜, 취나물무침, 백미밥, 볶음김치","미역국,",119.0,수원,18.7,0.0,0.0
2025-05-28,건강한끼(11:30~13:30),"부대찌개 (돈/계:국산), 연근땅콩조림, 계란찜, 오징어링, 백미밥, 깍두기",부대찌개,119.0,수원,19.5,0.0,0.0
2025-05-29,건강한끼(11:30~13:30),"감자고추장찌개, 돈육장조림 (돈:국산), 진미채버터볶음, 백미밥, 치커리유자무침, 포기김치","감자고추장찌개,",119.0,수원,19.5,0.0,0.0
2025-05-30,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,등록된,119.0,수원,19.9,0.0,0.0
2025-05-19,건강한끼(11:30~13:30),"육개장 (우:호주산), 새우까스, 비엔나케찹볶음 (돈:국산), 백미밥, 유채나물겉절이, 깍두기",육개장,119.0,수원,16.1,0.0,0.0
2025-05-20,건강한끼(11:30~13:30),"된장찌개, 고추장불고기 (돈:국산), 김구이, 고구마밥, 취나물무침, 포기김치","된장찌개,",119.0,수원,22.9,0.0,0.0
