날짜,요일,시간대,메뉴,기온,강수량,식수량,시험기간 여부
2025-03-04,Tuesday,점심,백미밥,2.6,2.3,290,아니오
2025-03-05,Wednesday,점심,백미밥,4.9,0.0,339,아니오
2025-03-06,Thursday,점심,등록된 식단내용이(가) 없습니다.,3.5,0.0,182,아니오
2025-03-10,Monday,점심,강된장두부찜,6.2,0.0,201,아니오
2025-03-11,Tuesday,점심,부대찌개 (돈:국산),7.5,0.0,388,아니오
2025-03-12,Wednesday,점심,북어해장국,7.2,0.2,292,아니오
2025-03-13,Thursday,점심,돈육김치찌개 (돈:국산),8.0,0.0,276,아니오
2025-03-17,Monday,점심,김치콩나물국,2.6,0.0,302,아니오
2025-03-18,Tuesday,점심,청양바지락국,2.0,4.0,340,아니오
2025-03-19,Wednesday,점심,강된장보리비빔밥,1.7,0.0,284,아니오
2025-03-20,Thursday,점심,팽이된장국,7.1,0.0,218,아니오
2025-03-24,Monday,점심,묵은지 닭찜 (계:국산),14.0,0.0,202,아니오
2025-03-25,Tuesday,점심,곤드레밥*양념장,12.3,0.0,330,아니오
2025-03-26,Wednesday,점심,해물순두부찌개,14.7,0.0,211,아니오
2025-03-27,Thursday,점심,아욱된장국,13.2,0.2,204,아니오
2025-03-31,Monday,점심,간장돈육불고기 (돈:국산),7.2,0.0,246,아니오
2025-04-01,Tuesday,점심,순살감자탕 (돈:국산),8.5,0.0,354,아니오
2025-04-02,Wednesday,점심,부대볶음 (돈,7.8,0.0,234,아니오
2025-04-03,Thursday,점심,안동찜닭 (계:국산),8.3,0.0,192,아니오
2025-04-07,Monday,점심,호박고추장찌개,12.4,0.0,173,아니오
2025-04-08,Tuesday,점심,열무된장국,12.4,0.0,299,아니오
2025-04-09,Wednesday,점심,육개장 (우:호주산),11.6,0.2,296,아니오
2025-04-10,Thursday,점심,돈육스팸김치찌개 (돈:국산),11.9,0.0,148,아니오
2025-04-14,Monday,점심,미역국,4.5,5.7,276,아니오
2025-04-16,Wednesday,점심,떡만두국 (돈:국산),13.8,0.0,300,아니오
2025-04-17,Thursday,점심,두부김치국,19.3,0.0,160,아니오
2025-04-21,Monday,점심,소고기콩나물밥*양념장 (홎산),19.3,0.0,228,아니오
2025-04-22,Tuesday,점심,미나리 샤브국 (우:호주산),17.3,16.4,189,아니오
2025-04-23,Wednesday,점심,부대찌개 (돈:국산),15.7,0.0,264,예
2025-04-24,Thursday,점심,차돌된장찌개 (우:호주산),13.0,0.0,198,예
2025-04-28,Monday,점심,고추잡채*화권 (돈:국산),13.5,0.0,127,예
2025-04-29,Tuesday,점심,북어해장국,13.1,0.0,182,예
2025-04-30,Wednesday,점심,얼큰닭개장 (계:국산),17.2,0.0,180,아니오
2025-05-01,Thursday,점심,팽이된장국,13.1,20.5,120,아니오
2025-05-07,Wednesday,점심,등록된 식단내용이(가) 없습니다.,13.2,0.0,242,예
2025-05-08,Thursday,점심,뼈없는감자탕 (돈:국산),15.9,0.0,181,예
2025-05-12,Monday,점심,된장찌개,16.0,0.0,177,예
2025-05-13,Tuesday,점심,황태해장국,18.6,0.0,226,예
2025-05-14,Wednesday,점심,참치김치찌개,19.8,0.0,190,아니오
2025-05-15,Thursday,점심,부대찌개 (돈:국산),18.9,0.2,178,아니오
2025-05-19,Monday,점심,육개장 (우:호주산),16.1,0.0,229,아니오
2025-05-20,Tuesday,점심,된장찌개,22.9,0.0,252,아니오
2025-05-21,Wednesday,점심,돈육김치찌개 (돈:국산),24.0,0.0,337,아니오
2025-05-22,Thursday,점심,옹심이만두국 (돈:국산),21.4,0.3,129,아니오
2025-05-26,Monday,점심,배추된장국,18.0,0.0,161,아니오
2025-05-27,Tuesday,점심,미역국,18.7,0.0,249,아니오
2025-05-28,Wednesday,점심,부대찌개 (돈/계:국산),19.5,0.0,238,아니오
2025-05-29,Thursday,점심,감자고추장찌개,19.5,0.0,146,아니오
2025-06-02,Monday,점심,육개장 (우:호주산),19.4,0.0,261,아니오
2025-06-04,Wednesday,점심,묵은지찜닭 (계:국산),18.8,0.0,162,아니오
2025-06-05,Thursday,점심,뼈없는감자탕 (돈:국산),20.3,0.0,157,아니오
2025-06-09,Monday,점심,짬뽕국 (오징어:국산),23.0,0.0,199,아니오
2025-06-10,Tuesday,점심,김치사태찜 (돈:국산),19.9,0.0,225,아니오
2025-06-11,Wednesday,점심,순두부찌개,20.9,0.0,110,예
2025-06-12,Thursday,점심,돼지김치짜글이 (돈:국산),23.4,0.0,137,예
